id,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,label,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,now_timegap
72,40,26,53.7,05_23_03:00:37,0,-330.7557,76.95647,0.8712261,31.367584,6.2092648,8.110424,3.4787173,-4.583938,-4.981034,7.236951,3.0827405,-2.5729003,-14.505845,1.3
73,43,28,29.7,05_23_03:00:37,0,-356.52173,82.46455,-4.6733136,22.809536,11.214019,8.624843,9.452216,-1.0274558,-0.39781773,13.351622,-5.8474855,-8.938141,-15.350256,1.4
74,46,31,31.2,05_23_03:00:37,0,-358.49127,83.925674,11.34767,28.463696,9.62387,8.653894,0.21488345,-0.9897057,2.5443883,9.6765175,-1.7655659,-4.244384,-10.665094,1.5
75,49,33,56.8,05_23_03:00:37,0,-365.98367,86.172806,7.5301275,11.890891,5.382495,12.290866,1.4209281,5.3475304,0.22626936,10.451838,4.3795085,9.906388,-8.143215,1.6
76,52,36,52.4,05_23_03:00:37,0,-366.9526,88.74364,3.1120691,22.49717,12.6214695,11.1842785,-1.0950209,-6.250823,-5.081982,5.95324,2.4264483,-0.6964903,-6.199854,1.7
77,55,38,46.1,05_23_03:00:37,0,-345.93164,84.01053,-0.34017664,24.588974,10.100381,9.887129,-1.7752457,-11.4860935,-11.671318,3.3099718,-9.30904,-0.23679416,-11.097759,1.8
78,58,41,48.4,05_23_03:00:37,0,-373.39764,90.10417,9.4963665,28.922676,15.881834,6.638118,5.9249396,1.0057182,-1.5829585,10.020686,4.3346124,-5.10075,-6.190348,1.9
79,61,43,48.2,05_23_03:00:37,0,-376.3739,85.85901,11.82728,19.54073,23.57871,14.492601,6.870143,2.5317295,-3.0274873,0.739033,-5.42374,-4.704479,-11.473399,2
80,64,46,40.1,05_23_03:00:37,0,-380.02042,84.5647,4.4357395,20.571598,19.018341,4.936021,4.9492493,1.2081771,-7.341715,4.453633,2.8004212,-5.7931423,-13.537437,2.1
81,67,48,38.7,05_23_03:00:37,0,-373.9085,85.28609,0.33781815,25.054838,12.250948,5.0259113,-2.4376962,0.493379,-1.316958,3.9846249,-6.1029706,-4.3705397,-7.210677,2.2
82,70,51,48.4,05_23_03:00:37,0,-361.44073,82.76846,15.498319,32.407288,19.234818,9.410887,-0.516822,-0.23658055,-10.862518,4.8246827,0.10503435,-5.165565,-0.2042073,2.3
83,73,53,45.7,05_23_03:00:37,0,-384.0516,86.48985,7.7013845,25.603403,14.516748,0.095101476,-5.237922,0.8986977,-4.109116,-1.5239978,-6.6297245,-7.981078,1.988103,2.4
84,76,56,46.7,05_23_03:00:37,0,-399.52,99.63724,5.671667,27.08356,13.933289,10.454079,6.005537,4.938487,-0.9671987,2.1456504,-4.6483727,-5.321191,0.15333542,2.5
