,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
35,35,109,81.6,92,0,10_11_20:20:05,3.7,-366.81458,116.953125,1.9858501,17.785767,11.3795,3.4907055,2.305175,8.393251,2.1127431,5.203961,-2.9234524,2.3521783,-5.842416,5.6055017,-8.765801,-1.0526763
36,36,112,57.3,94,0,10_11_20:20:05,3.8,-369.23096,116.03678,3.0842137,16.123314,8.43989,-1.306072,-0.2319833,6.6794558,-0.02355069,3.21906,-0.47549957,2.3630586,1.8308764,4.3404703,-7.9991674,5.793338
37,37,115,19.5,97,0,10_11_20:20:05,3.9,-369.95657,116.03543,-3.2694983,8.567893,5.3543363,5.736518,6.076008,6.4675326,-9.291592,-4.499165,-1.2289269,2.0375,-9.573661,0.7467413,-6.8358164,3.156948
38,38,118,59.2,99,0,10_11_20:20:05,4.0,-372.33224,118.28026,1.0511745,8.540173,4.564139,1.1926765,1.2005763,6.4710116,-3.8835626,1.1560819,-2.2839084,3.186027,-2.9127107,3.3599238,-7.889157,0.03391421
39,39,121,45.3,102,0,10_11_20:20:05,4.1,-366.91928,118.5262,3.523647,15.695327,6.480196,2.4867663,3.4133458,6.4975977,-5.632093,-0.60869735,-1.622064,-1.7985581,-8.606121,-0.2776343,-0.44456553,1.384028
40,40,124,65.4,104,0,10_11_20:20:05,4.2,-371.60217,118.13168,-1.0570543,10.125768,6.7252054,1.633604,1.12659,8.477107,-4.20345,-4.066504,-5.2714033,3.684976,4.89594,8.229611,-6.258869,6.900916
41,41,127,30.9,107,0,10_11_20:20:05,4.3,-367.9683,123.319855,0.607758,9.238026,5.650246,5.627757,7.166319,14.198741,-0.4048024,-0.6065591,-1.4937053,1.2517192,-7.533553,-0.7473969,-6.672638,4.3338346
42,42,130,43.9,109,0,10_11_20:20:05,4.4,-372.67368,115.04605,4.1092343,16.905994,11.023186,3.8766098,0.243904,4.871488,-4.1380186,3.2959547,2.1631145,1.3816073,-0.79854083,4.0959063,-5.464945,3.297585
43,43,133,92.4,112,0,10_11_20:20:05,4.5,-366.7437,123.155495,3.3270688,13.584131,6.1629276,3.774876,3.0063715,6.9106913,-2.114732,0.15443718,-2.7065248,-3.187797,-4.4868784,2.4773717,-2.7495599,2.1418405
44,44,136,51.1,114,0,10_11_20:20:05,4.6,-372.44855,117.40573,4.319021,17.907099,6.9995832,3.5077872,0.0066514015,5.740431,1.0763636,1.7919343,-3.2532797,4.8629203,-5.08467,0.905613,-10.949228,-0.18472457
45,45,139,67.6,117,0,10_11_20:20:05,4.7,-368.67978,115.94095,2.3852117,14.489807,8.674833,0.6013603,1.8517394,3.7446504,-3.6492457,1.8158838,-5.823714,2.5743527,2.3971157,8.099479,-3.9891686,-0.5395328
