,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
35,35,108,80.3,90,0,05_22_14:48:48,3.6,-471.58667,65.43359,-6.455059,17.040695,22.156244,4.7240386,3.0482898,2.0715702,-5.038603,12.763708,-5.432181,-9.838428,-6.7644157,4.957112,-2.2004917,0.14289957
36,36,111,118.5,93,0,05_22_14:48:48,3.7,-475.25464,72.98074,-7.9720864,22.13204,22.262028,3.9050405,11.715107,5.5799026,-2.0392632,7.1069508,-15.017121,-5.609438,-18.96,4.171648,3.6645932,0.95889187
37,37,114,43.3,96,0,05_22_14:48:48,3.8,-507.23227,89.919846,-11.069042,30.2401,22.892467,3.6330893,-2.1957445,-1.2078022,-1.5336702,5.2253637,-9.690326,-3.6199481,-11.348595,7.0972514,5.114378,6.2607727
38,38,117,131.9,98,0,05_22_14:48:48,3.9,-482.99237,70.06676,4.0289297,20.188097,14.660194,0.9444929,-6.1881714,1.3928268,-4.0752425,4.033359,-5.1678047,-9.893326,-2.9243577,6.693128,-1.2867706,-2.359886
39,39,120,68.2,101,0,05_22_14:48:48,4.0,-482.5464,71.59868,-3.9888968,23.287655,18.680285,-9.049203,-1.5317876,3.907163,-1.5336157,7.3355036,-7.7240095,-3.0842662,-4.041507,5.8223934,-11.4915085,-0.91184044
40,40,123,143.0,103,0,05_22_14:48:48,4.1,-454.3193,21.186848,27.78481,6.6283617,28.310856,3.8227255,-5.130147,8.744946,-1.9392948,-1.8843637,-15.471419,0.53324276,-7.0007806,-0.78596926,-10.923178,10.0725565
41,41,126,76.5,105,0,05_22_14:48:48,4.2,-446.2712,32.35346,20.227932,5.0382648,36.05928,-3.94073,2.5590289,0.2707044,-6.3882084,0.81807685,-5.9629407,-10.858069,-5.672209,-1.6607599,-7.2097473,-1.7981361
42,42,129,116.6,108,0,05_22_14:48:48,4.3,-450.32016,52.497696,0.4612676,14.600828,16.007298,-1.8546894,-13.604729,5.166347,-2.0944223,8.565344,-4.2075233,-4.0319915,-13.828046,-2.428815,-3.6712189,1.5935715
43,43,132,93.6,110,0,05_22_14:48:48,4.4,-454.41934,61.025726,-0.4507321,21.421455,5.863323,1.3593929,-22.586796,-0.46655738,-8.567282,5.890447,2.5249665,9.327495,-18.58083,-6.114814,-4.0180635,2.5815897
44,44,135,105.8,113,0,05_22_14:48:48,4.5,-471.42538,71.89823,-1.6844475,24.716541,21.00318,-1.9990399,-13.010117,10.21215,-13.22672,-4.344701,-8.971649,7.0109224,-8.311943,-7.539246,-4.2213335,6.64349
45,45,138,26.2,116,0,05_22_14:48:48,4.6,-469.05115,67.839455,-10.711401,23.054031,28.848577,1.4105269,-7.3653507,8.0954075,-16.041204,3.6344523,0.033777952,7.816529,-17.69271,-11.012704,0.54087865,2.5228255
46,46,141,89.4,118,0,05_22_14:48:48,4.7,-475.4526,84.45228,-23.472233,16.860523,12.315678,-3.3753226,3.5760005,12.404522,-1.6333251,-4.313271,5.926306,3.6204722,-16.817516,-14.538239,-3.0703466,13.567291
47,47,144,108.9,121,0,05_22_14:48:48,4.8,-461.03406,42.28786,16.268784,14.702921,25.882305,-10.013451,0.4848235,11.023457,-10.850734,-21.62473,-1.1915823,8.891849,-2.5422215,-5.3263655,-0.7754381,-5.238355
48,48,147,111.8,123,0,05_22_14:48:48,4.9,-455.049,45.453064,22.556332,5.6595287,39.907936,-10.698799,1.313067,6.5086155,-4.734384,-13.005099,-3.2727113,2.6953945,-16.876335,-12.038944,-2.2409163,-4.537546
49,49,150,109.5,125,0,05_22_14:48:48,5.0,-466.6301,78.367195,-5.4253387,18.782442,12.8040085,-1.6545126,-10.68338,9.299011,3.5087314,-3.3408976,-5.456295,-4.027355,-16.699745,-6.743399,-3.6527925,-2.9153132
50,50,153,78.8,128,0,05_22_14:48:48,5.1,-466.78558,75.7682,-5.696599,24.81218,15.44787,-3.7067392,-13.661371,15.88578,7.081052,-3.1896856,-5.280829,-2.219391,-19.099178,-4.5545783,-4.8359847,-12.236908
51,51,156,120.4,130,0,05_22_14:48:48,5.2,-462.6801,73.50246,-10.764444,23.470163,11.863743,-0.45480102,-7.6500587,7.955206,2.0469348,4.0847507,-2.4386425,-8.321672,-17.256208,-6.8837147,5.113443,-8.933851
52,52,159,70.3,133,0,05_22_14:48:48,5.3,-469.34885,73.658325,-9.575291,18.37856,3.5412748,-0.8788795,-10.900032,10.899506,-1.5514941,4.1848693,3.2465916,-2.691469,-18.404234,-9.15975,3.427167,-2.3434813
53,53,162,94.8,136,0,05_22_14:48:48,5.4,-456.4344,78.34446,-7.9519615,17.973866,13.965904,3.9274774,-5.8826237,16.238308,1.7942338,1.7383696,-10.252238,-7.547202,-18.415012,-8.29576,-0.5819105,-15.330152
54,54,165,167.4,138,1,05_22_14:48:48,5.5,-463.61926,68.38431,-14.942578,19.929539,19.17097,-0.4448148,-5.2347903,12.333462,-2.2355888,-6.8036447,-10.077248,-5.6921096,-20.290693,-9.602481,1.6937773,-14.214659
55,55,168,130.3,140,1,05_22_14:48:48,5.6,-424.96954,55.00314,-9.280466,23.90374,12.196016,0.6607654,-4.24485,-0.14229658,-11.118208,-6.134279,0.5516288,-1.6598728,-9.100958,3.6692424,-7.8275795,-10.448625
56,56,171,196.2,143,1,05_22_14:48:48,5.7,-466.9075,63.242264,-15.024083,13.712929,12.967348,-0.9940204,-11.980621,-2.671413,-8.537643,7.540691,0.3014499,4.239224,-11.211902,-3.8547535,-4.5736737,-8.244797
57,57,174,99.6,145,1,05_22_14:48:48,5.8,-479.70892,73.325005,-27.933495,25.18119,10.27219,3.175434,-5.5111117,8.917693,-11.351677,-8.029354,1.4572722,6.98143,-5.2971344,-3.2482753,-9.82798,-8.347885
58,58,177,130.3,148,1,05_22_14:48:48,5.9,-483.0591,83.2921,-23.92868,30.673124,19.895155,-6.982683,-9.941521,10.226324,-11.30101,-2.367824,-4.1323366,-2.4903364,-6.533394,-9.481158,-0.7089185,-12.5325985
59,59,4,54.6,3,0,05_22_14:49:17,0.1,-418.1446,81.7426,24.104942,-3.7769413,23.726562,-0.98146653,10.589346,0.65540344,0.32159,-0.061897695,-3.581775,-3.795593,-10.147142,-7.4143744,-15.201169,-8.362722
60,60,7,79.0,5,0,05_22_14:49:17,0.2,-383.9691,42.29419,62.98139,-22.762602,32.01187,-1.9153781,0.96318597,9.082584,-8.432111,7.026403,-4.0515585,1.5558505,-9.007364,-3.3210678,1.2478752,2.6896048
61,61,10,69.3,8,0,05_22_14:49:17,0.3,-419.51456,95.32153,32.807514,-4.494743,20.108578,-2.122624,6.9662285,3.022171,2.6374612,1.1977397,-1.676353,-0.057049453,-5.211831,-2.019096,-4.7644005,-2.5302958
62,62,13,98.6,10,0,05_22_14:49:17,0.4,-399.99457,84.98457,29.825256,-17.568016,31.316032,-4.7441206,1.4142675,-4.8689938,-4.7938466,8.202616,-12.237037,-7.073041,-15.099545,-3.6854854,-7.137467,1.8198286
63,63,16,48.2,13,0,05_22_14:49:17,0.5,-390.1535,82.24158,35.55166,-12.884836,31.549692,5.393036,1.6478441,1.4110029,-2.0307932,15.341301,-7.529651,-2.0997071,-15.222469,4.058426,-12.91083,-5.402906
64,64,19,13.4,15,0,05_22_14:49:17,0.6,-390.46185,88.08508,11.905888,2.2418962,29.92731,-4.0482802,2.8929982,5.3143196,-0.20834517,7.294085,0.18510997,0.10656933,-19.73663,2.81029,-3.3760028,5.1247807
65,65,22,72.7,18,0,05_22_14:49:17,0.7,-364.39218,61.627434,-3.3233109,9.705411,32.049232,-7.436239,0.56888306,9.976929,-7.106271,4.4045496,-0.03191419,-0.957862,-7.3623395,2.8211036,-8.2546835,-2.5030737
66,66,25,77.6,20,0,05_22_14:49:17,0.8,-347.58157,64.73297,-24.616377,18.884348,29.365917,-10.588182,1.7889876,11.500183,-12.883343,7.226003,-4.5889373,-4.0767574,-9.424345,6.6743164,-10.002826,-3.8696914
67,67,28,81.1,23,0,05_22_14:49:17,0.9,-339.4215,64.609985,-22.345558,14.897303,36.077934,-11.448198,8.547041,11.989584,-5.850602,-10.875084,-2.0315723,6.46624,-6.840519,-9.899728,0.7898382,9.369695
68,68,31,28.5,25,0,05_22_14:49:17,1.0,-343.39795,77.52127,-31.70803,22.044962,22.816416,-10.595013,-1.8310995,20.122828,-9.060974,6.084937,10.740974,3.8936064,-18.866539,-2.474572,11.879385,-1.4335107
69,69,34,25.1,28,0,05_22_14:49:17,1.1,-353.7153,73.72266,-15.270643,24.796257,31.526308,-0.5160903,5.048251,11.462336,-6.597934,5.8399124,5.9940367,-2.674926,-20.341301,-3.7779508,5.7580905,1.5520953
70,70,37,84.4,30,0,05_22_14:49:17,1.2,-334.74683,77.76503,-26.916878,17.27182,28.19869,-6.961935,-4.1534815,19.083632,-7.874734,-4.484618,1.6101801,3.8425508,-21.779203,-10.267315,3.2859724,0.62043774
71,71,40,34.2,33,0,05_22_14:49:17,1.3,-336.41986,73.476456,-20.405357,18.450075,30.659365,-3.5685654,-4.457757,21.644096,-4.2375383,3.5120592,-0.17427021,1.2868859,-21.715221,-5.8735266,0.71601534,6.607085
72,72,43,78.8,35,0,05_22_14:49:17,1.4,-345.51443,76.52583,-20.373228,15.419014,25.776958,-0.2051996,2.0943093,13.918943,-4.416765,3.6260827,0.035172462,9.75876,-22.409775,-2.968578,6.959022,13.105534
